Artikkelnummer;Forhold
11924;1
12007;1
12094;24
12038;1
11137;1
12133;1
12036;1
00500;1
00501;1
12064;1
07517;1
11918;1
12132;1
11118;1
11541;1
12041;16
11940;16
11935;16
11936;16
12016;20
11939;16
11934;16
12067;16
12066;16
11888;16
12015;16
00400;35
12065;1
12020;20
11271;1
12125;1
12054;8
12116;6
11665;5
12040;5
12122;6
00869;5
00867;5
12108;6
00879;5
12115;5
12083;5
11911;3
12142;5
12061;12
00875;5
12106;6
12093;6
12092;6
11483;6
11800;6
12060;12
12145;12
12087;12
11803;12
00873;4
12144;5
11705;12
12086;5
00841;5
11884;8
11882;8
11881;8
11885;8
11923;8
11883;8
12011;8
12079;6
11926;6
12018;6
11997;6
11816;6
11948;6
12044;6
11809;3
11945;6
06908;12
06906;12
06925;12
12114;6
12113;6
