Artikkelnummer;Artikkelnavn;Antalldpakk;Antallfpakk
11884;Royal Creme Brulee 8 stk x 0,9l;0;0
11882;Royal Pistasj 8 stk x 0,9l;0;0
11881;Royal Sjokolade 8 stk x 0,9l;0;0
11885;Royal Skogsbær og sjokolade 8 stk x 0,9l;0;0
11923;Royal Trippel karamell 8 stk x 0,9l;0;0
11883;Royal Vanilje 8 stk x 0,9l;0;0
12011;Royal Lakris 8 stk. x 0,5l;0;0
12079;Royal trippel Magi 6 stk  x 0,5l;0;0
11926;Diplom-is fløteis Krokan 2 L x 6 ;0;0
12018;Diplom-is Vanilje LETT 6 stk. x 1,2l;0;0
11997;LaktoseFRI vanilje 6 stk. x 1,2l;0;0
11816;Dream Brownie Blast 6 stk x 0,8l;0;0
11948;Dream Frappe Delight 6 stk x 0,8l;0;0
12044;Dream Lemon Heaven 6 stk x 0,8l ;0;0
11809;Lykken Hestesko 1,5 ltr. X 3;0;0
11945;Lykken Sjokolade;0;0
06908;Salt karamellsaus x 12 stk;0;0
06906;Sjokoladesaus x 12 stk ;0;0
06925;Lyssjokoladesaus Stivner x 12 stk;0;0
